Aircraft Name,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2009 Learjet 45 XR,LV-BTO,388,Inquire,"2,441","2,452","FL, US",JPN Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198292&listingType=true
2009 Learjet 45 XR,N245CM,403,Inquire,"5,015","3,856","TX, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199217&listingType=true
2000 Learjet 45 BR,G-FEMC,097,Inquire,"8,960","9,253","FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198588&listingType=true
2002 Learjet 45,N345SC,0203,"$ 2,195,000","4,491","3,805","FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196389&listingType=true
2005 Learjet 45,N/A,0280,Inquire,"5,875","4,391",GB,MaceAero Ltd ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198371&listingType=true
2001 Learjet 45,N615NR,131,Inquire,"5,479","4,107","CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199156&listingType=true
2002 Learjet 45,N197EC,197,"$ 1,950,000","8,593","7,100","MO, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198899&listingType=true
2007 Learjet 40 XR,N779CF,2087,Inquire,"3,677","2,754","OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198611&listingType=true
1977 Learjet 35 A,N500LL,095,Inquire,"15,610","11,008","FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197132&listingType=true
1980 Learjet 35 A,N310PJ,310,Inquire,"18,416","13,925","CO, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=180153&listingType=true
1980 Learjet 35 A,N35WB,350,Inquire,"7,895","7,171","FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198134&listingType=true
1981 Learjet 35 A,N72AY,419,Inquire,"10,624","8,710","FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=193480&listingType=true
1985 Learjet 35 A,N925CA,605,Inquire,"10,349","8,382","FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=170448&listingType=true
1990 Learjet 35 A,SE-RMX,659,"$ 995,000","7,536","6,499",SE,Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199122&listingType=true
1992 Learjet 31 A,N444HC,064,"$ 499,000","4,254","3,300","NC, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197214&listingType=true
1994 Learjet 31 A,N840SW,084,"$ 850,000","6,289","5,706","FL, US",N/A,https://www.aso.com/listings/spec/ViewAd.aspx?id=197903&listingType=true
1980 Learjet 25 D,N108FL,300,"$ 345,000","6,227",N/A,"NC, US",USA Jet & Helicopter,https://www.aso.com/listings/spec/ViewAd.aspx?id=198598&listingType=true
1975 Learjet 25 B,N251TS,201,"$ 285,000","6,731","4,999","FL, US",USA Jet & Helicopter,https://www.aso.com/listings/spec/ViewAd.aspx?id=198602&listingType=true
1985 IAI Westwind 2,YV606T,0434,Inquire,"8,543","6,048","FL, US",Aerocentro Corp,https://www.aso.com/listings/spec/ViewAd.aspx?id=196362&listingType=true
1984 IAI Westwind 2,N772DC,410,Inquire,"7,418","6,195","MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=196851&listingType=true
1985 IAI Westwind 2,CP-2784,433,"$ 350,000","7,286","6,655",BO,Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=195699&listingType=true
1979 IAI Westwind 1,N418WA,250,"$ 229,000","8,335","5,600","LA, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198777&listingType=true
1998 IAI Astra SPX,C6-BRD,103,"$ 2,300,000","3,954","2,320","MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=196882&listingType=true
1992 IAI Astra SP,N/A,N/A,Inquire,"4,190","1,943","FL, US","JetLease Palm Beach, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=186480&listingType=true
1990 IAI Astra SP,N986HH,041,Inquire,"8,520","4,523","FL, US","United Wings International, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=194518&listingType=true
2001 IAI Astra 1125 SPX,N63UC,136,"$ 2,395,000","4,372","2,920","FL, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198834&listingType=true
1998 IAI Astra 1125,N334LV,0096,Inquire,"4,634","3,871",EC,Fenix Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198697&listingType=true
1996 IAI Astra 1125,N684SJ,081,"$ 1,950,000","7,273","4,102","TX, US",Charlie Bravo Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=197126&listingType=true
2016 Honda HondaJet HA-420,N110HJ,42000020,"$ 2,795,000","2,116","1,429","OK, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198526&listingType=true
2024 Honda HondaJet Elite II,N/A,N/A,Inquire,00,N/A,"MA, US",Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=196400&listingType=true
2016 Honda HondaJet APMG,N419DB,42000040,Inquire,996,"1,052","IN, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=192921&listingType=true
2017 Honda HondaJet,N505RP,42000042,Inquire,539,326,"KS, US",Textron Aviation Pre-Owned ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198922&listingType=true
2018 Honda HondaJet,SP-CHE,42000091,Inquire,"1,680","1,150","FL, US","Global Wings, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197999&listingType=true
2024 Honda HondaJet,N229CX,42000264,Inquire,95,N/A,"NC, US",Aerista,https://www.aso.com/listings/spec/ViewAd.aspx?id=197759&listingType=true
2007 Hawker 900XP,N42NH,0006,Inquire,"4,090","2,589","TX, US",Thomas Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198604&listingType=true
2007 Hawker 900XP,N1776C,HA0002,Inquire,"4,587","2,848","OH, US",Axiom Aviation Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198613&listingType=true
2007 Hawker 900XP,N330GW,HA-0003,Inquire,"4,683","2,484","NH, US","The VanAllen Group, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199376&listingType=true
2008 Hawker 900XP,N900XF,HA-0028,"$ 4,995,000","1,563","1,322","CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198419&listingType=true
2008 Hawker 900XP,N901MB,HA-0046,Inquire,"4,080","2,503","TX, US",Dallas Jet International,https://www.aso.com/listings/spec/ViewAd.aspx?id=195510&listingType=true
2010 Hawker 900XP,N916JB,HA-0150,Inquire,"5,240","3,268","FL, US",Fenix Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198854&listingType=true
2008 Hawker 850XP 2008,N334US,258980,Inquire,"4,660","3,007","CO, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197654&listingType=true
2006 Hawker 850XP,N720TM,258758,"$ 3,350,000","10,303","8,112","NJ, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=196773&listingType=true
2006 Hawker 850XP,N810GB,258764,Inquire,"3,197","2,475",EC,"Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199128&listingType=true
2006 Hawker 850XP,N150GF,258823,"$ 4,500,000","3,508","1,804","KS, US",Textron Aviation Pre-Owned ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196650&listingType=true
2007 Hawker 850XP,N641RP,258858,Inquire,"4,002","3,180","OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197827&listingType=true
2005 Hawker 800XP i,N920EJ,258705,"$ 2,995,000","9,128","6,657","DE, US",Caliber Aircraft Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198458&listingType=true
2005 Hawker 800XP i,N743WJ,258743,"$ 2,575,000","9,297","6,385","NJ, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=196774&listingType=true
2007 Hawker 800XP i,SX-FLY,258834,Inquire,"9,791","6,564","NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198807&listingType=true
1999 Hawker 800XP,N383MV,258403,"$ 2,385,000","7,709","5,209","FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197878&listingType=true
2001 Hawker 800XP,N989CL,258535,"$ 2,195,000","9,196","6,091","NJ, US",Leading Edge Aviation Solutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198783&listingType=true
2002 Hawker 800XP,N771FM,258591,Inquire,"4,998","3,399","FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197877&listingType=true
2003 Hawker 800XP,N128KH,258621,"$ 2,550,000","8,180","5,599","MT, US",Magna Air Group LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197190&listingType=true
2003 Hawker 800XP,N851RG,258634,Inquire,"4,534","2,928","TX, US",Charlie Bravo Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198896&listingType=true
2003 Hawker 800XP,N279CF,258642,"$ 3,600,000","3,766","2,330","VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198401&listingType=true
2005 Hawker 800XP,N874TX,258714,Inquire,"8,988","6,219","FL, US","Ramjet Aviation, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198451&listingType=true
2005 Hawker 800XP,N609RC,258720,"$ 2,675,000","10,315",N/A,"NY, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198255&listingType=true
1994 Hawker 800 SP,N732AA,258243,Inquire,"10,778","7,380","TN, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198528&listingType=true
1987 Hawker 800 A,N180NE,25810,Inquire,"6,503","6,144","NY, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199059&listingType=true
1993 Hawker 800 A,N58BL,258236,"$ 1,550,000","6,911","5,348","FL, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198776&listingType=true
1995 Hawker 800 A,N489BM,258271,"$ 1,995,000","9,793","7,523","TX, US","Priority 1 Aviation, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198905&listingType=true
1989 Hawker 800,N800AF,258158,"$ 1,800,000","10,800","6,230","AR, US",Reata Jet,https://www.aso.com/listings/spec/ViewAd.aspx?id=198749&listingType=true
2008 Hawker 750,XA-PEM,HB-0008,Inquire,"8,469","5,800","MO, US",JetBrokers,https://www.aso.com/listings/spec/ViewAd.aspx?id=196439&listingType=true
2008 Hawker 750,N831EM,HB-0012,Inquire,"2,034","1,494","VA, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198216&listingType=true
1982 Hawker 700 A,N26ME,NA-0315,"$ 549,000","11,919","8,045","VA, US",AeroSolutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=197882&listingType=true
1994 Hawker 400XP R,N400XP,RK-96,Inquire,"7,379","10,533","MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=195335&listingType=true
2006 Hawker 400XP,N/A,N/A,Inquire,"5,607","4,937",BR,Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=199437&listingType=true
2004 Hawker 400XP,N501FF,RK-364,"$ 1,900,000","5,271","4,240","MO, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198652&listingType=true
2005 Hawker 400XP,N442GJ,RK442,"$ 1,195,000","11,108","9,322","DE, US",Caliber Aircraft Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198460&listingType=true
