Year,Make,Model,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2006,Gulfstream,G450,N818BK,4047,10595000,5959,2518,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198043&listingType=true
2006,Gulfstream,G450,N81GV,4053,11500000,5137,2927,"DE, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198590&listingType=true
2006,Gulfstream,G450,N450GR,4058,13250000,5500,1900,"SC, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199309&listingType=true
2006,Gulfstream,G450,N806MQ,4059,11495000,4283,1809,"TX, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198967&listingType=true
2007,Gulfstream,G450,N470QS,4084,10995000,12178,6083,"OH, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=192201&listingType=true
2008,Gulfstream,G450,N3918Y,4112,12750000,3266,1273,"PA, US",Leading Edge Aviation Solutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=198986&listingType=true
2009,Gulfstream,G450,N25GM,4145,Inquire,5786,2311,"MN, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199126&listingType=true
2016,Gulfstream,G450,C-GVTM,4349,Inquire,1870,870,"ON, CA",Leading Edge Aviation Solutions,https://www.aso.com/listings/spec/ViewAd.aspx?id=199100&listingType=true
2005,Gulfstream,G350,N502GM,4011,Inquire,5500,2700,"FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198754&listingType=true
2014,Gulfstream,G280,T7-210,2030,Inquire,1266,542,"NJ, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196313&listingType=true
2014,Gulfstream,G280,OE-HAG,2039,12675000,2490,897,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198075&listingType=true
2015,Gulfstream,G280,N977AE,2057,11950000,5771,5502,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197490&listingType=true
2017,Gulfstream,G280,N280FR,2107,Inquire,1267,676,"ID, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198310&listingType=true
2019,Gulfstream,G280,CC-AYY,2171,18495000,2066,1067,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198039&listingType=true
2022,Gulfstream,G280,N319WG,2230,22950000,1032,476,"NY, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198925&listingType=true
2025,Gulfstream,G280,N669PV,2295,Inquire,36,12,"FL, US",JPN Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=199087&listingType=true
2001,Gulfstream,G200,N132JC,0033,Inquire,4150,2570,"FL, US",Aerocentro Corp,https://www.aso.com/listings/spec/ViewAd.aspx?id=196360&listingType=true
2002,Gulfstream,G200,N283DJ,0051,Inquire,6825,nan,"CA, US",Lone Mountain Aircraft,https://www.aso.com/listings/spec/ViewAd.aspx?id=198032&listingType=true
2000,Gulfstream,G200,N119PS,009,3995000,7355,4180,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198411&listingType=true
2008,Gulfstream,G200,N765MS,0216,Inquire,7723,4757,"NJ, US","Adyson Aviation Group, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197250&listingType=true
2001,Gulfstream,G200,N834SC,034,Inquire,7350,3923,"TX, US",Dallas Jet International,https://www.aso.com/listings/spec/ViewAd.aspx?id=199301&listingType=true
2002,Gulfstream,G200,N916GB,067,Inquire,5900,3750,"FL, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198654&listingType=true
2008,Gulfstream,G200,N176QF,176,5285000,9657,5810,"FL, US",JPN Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=197217&listingType=true
2008,Gulfstream,G200,N982MM,204,Inquire,7388,4667,"FL, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196834&listingType=true
2008,Gulfstream,G200,N104SG,212,Inquire,3788,2737,"TX, US",Charlie Bravo Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=191240&listingType=true
2009,Gulfstream,G200,9H-777MF,225,Inquire,3986,2661,MC,Boutsen Aviation S.A.M.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198675&listingType=true
2010,Gulfstream,G200,VT-SNP,244,Inquire,3299,2431,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198773&listingType=true
2004,Gulfstream,G200,XA-MYM,99,Inquire,8871,5798,"CO, US",Hatt & Associates,https://www.aso.com/listings/spec/ViewAd.aspx?id=194865&listingType=true
2010,Gulfstream,G150,OH-WIL,0288,Inquire,3498,1859,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196495&listingType=true
2006,Gulfstream,G150,N150QA,206,3500000,3929,2691,"TX, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198835&listingType=true
2006,Gulfstream,G150,N150JN,212,Inquire,8051,5160,"CA, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198796&listingType=true
2008,Gulfstream,G150,N553CB,244,Inquire,5452,3349,"FL, US",JPN Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=196124&listingType=true
2008,Gulfstream,G150,XA-CHY,265,Inquire,3411,2395,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=195612&listingType=true
2008,Gulfstream,G150,XA-VFN,269,Inquire,4766,3285,MX,"Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198702&listingType=true
2011,Gulfstream,G150,N1924D,286,Inquire,2565,2246,"DE, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199402&listingType=true
2016,Gulfstream,G150,N963CH,316,Inquire,3049,1948,"FL, US",JPN Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=196401&listingType=true
2001,Gulfstream,G100,N831PC,0140,Inquire,6876,5359,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198293&listingType=true
2004,Gulfstream,G100,N115RJ,153,Inquire,4560,1822,"OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197828&listingType=true
2018,Falcon,900LX,N815WH,292,Inquire,1482,835,"FL, US","Jeteffect, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199300&listingType=true
2020,Falcon,900LX,N322FJ,322,Inquire,1794,668,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197558&listingType=true
2023,Falcon,900LX,LX-DPR,332,38800000,314,118,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198285&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198598&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198602&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196362&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196851&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=195699&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198777&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196882&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=186480&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=194518&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198834&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198697&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197126&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198526&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196400&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=192921&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198922&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197999&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197759&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198604&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198613&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199376&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198419&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=195510&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198854&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197654&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196773&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199128&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196650&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197827&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198458&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196774&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198807&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197878&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198783&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197877&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197190&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198896&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198401&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198451&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198255&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198528&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199059&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198776&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198905&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198749&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196439&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198216&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197882&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=195335&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199437&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198652&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198460&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196676&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=195926&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198018&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197139&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198848&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197852&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198935&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196893&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197668&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=169832&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=191683&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=191428&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196406&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196479&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199365&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197984&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199092&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198987&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=197894&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=196805&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=195448&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199318&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=199359&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=194781&listingType=true
,,,,,nan,nan,nan,,,https://www.aso.com/listings/spec/ViewAd.aspx?id=198837&listingType=true
2005,Falcon,900EX EASy,N900NH,157,Inquire,7340,3812,"WA, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198504&listingType=true
2010,Falcon,900EX Easy,LX-LIZ,236,Inquire,5933,2801,FR,Global Jet Monaco,https://www.aso.com/listings/spec/ViewAd.aspx?id=198260&listingType=true
2001,Falcon,900EX (ELITE II),D-AHER,078,Inquire,8843,4363,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=193696&listingType=true
1999,Falcon,900EX,N252PJ,052,Inquire,14588,10578,"TX, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196312&listingType=true
2000,Falcon,900EX,N321AJ,077,Inquire,8240,4383,"CA, US","Intercontinental Aircraft Group, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=199047&listingType=true
2001,Falcon,900EX,D-AHRN,096,10750000,6704,3325,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=194335&listingType=true
2008,Falcon,900EX,PH-DTF,205,Inquire,6103,2693,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=199042&listingType=true
1998,Falcon,900EX,N298RD,24,Inquire,8231,3484,"NY, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198060&listingType=true
2006,Falcon,900DX,N521DC,0608,Inquire,4848,2977,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198297&listingType=true
2007,Falcon,900DX,N500JJ,615,13995000,4694,2723,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199363&listingType=true
1988,Falcon,900B w/ Winglets,N504PA,043,Inquire,11910,6383,"ID, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197512&listingType=true
1989,Falcon,900B,N46HB,0042,Inquire,11446,6716,"TX, US",Interjet,https://www.aso.com/listings/spec/ViewAd.aspx?id=199118&listingType=true
1987,Falcon,900B,N824S,023,Inquire,12816,11792,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199317&listingType=true
1990,Falcon,900B,N80DW,079,Inquire,11991,6691,"TX, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=196609&listingType=true
1994,Falcon,900B,N345SK,138,Inquire,5675,3665,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199320&listingType=true
1993,Falcon,900,N918LB,128,6445000,9028,4560,"FL, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199348&listingType=true
2007,Falcon,7X,N247GT,005,Inquire,7139,2599,"NY, US",Freestream Aircraft Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=198838&listingType=true
2010,Falcon,7X,OY-VIK,085,17500000,8521,2515,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=199163&listingType=true
2010,Falcon,7X,,096,Inquire,3182,1690,GB,Global Jet Monaco,https://www.aso.com/listings/spec/ViewAd.aspx?id=199449&listingType=true
2010,Falcon,7X,D-ASIM,106,Inquire,9652,3301,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197546&listingType=true
2011,Falcon,7X,N542GP,107,Inquire,2756,1219,"IL, US",Coleman Jet Solutions LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196682&listingType=true
2011,Falcon,7X,VP-CIG,122,23000000,3215,1336,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=194128&listingType=true
2014,Falcon,7X,,157,Inquire,3270,1352,"MN, US","Central Business Jets, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199362&listingType=true
2012,Falcon,7X,LV-JQF,175,Inquire,4479,1458,"NC, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=199424&listingType=true
2000,Falcon,50 EX,T7-TIA,0295,Inquire,7222,4913,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=196870&listingType=true
1997,Falcon,50 EX,N726JG,258,Inquire,7847,4319,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199314&listingType=true
2007,Falcon,50 EX,N200WL,352,Inquire,5530,3560,"FL, US","Florida Jet Sales, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198516&listingType=true
2006,Falcon,50 EX,M-CICD,50-345,Inquire,3500,1900,"NE, US",Freestream Aircraft Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=196476&listingType=true
1994,Falcon,50,N47KH,0245,Inquire,8733,5833,"TX, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=196043&listingType=true
1983,Falcon,50,N634KA,129,Inquire,15003,10617,"NC, US",CFS Jets,https://www.aso.com/listings/spec/ViewAd.aspx?id=198795&listingType=true
1986,Falcon,50,N50SQ,147,Inquire,9262,nan,"MO, US",Magna Air Group LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=197609&listingType=true
1986,Falcon,50,N2FQ,167,Inquire,7254,3876,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199315&listingType=true
1987,Falcon,50,N37KJ,173,1995000,8687,5120,"MI, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=197760&listingType=true
1987,Falcon,50,N777UV,176,Inquire,7983,5384,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199312&listingType=true
1990,Falcon,50,N292WA,207,Inquire,9914,5781,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199313&listingType=true
1991,Falcon,50,N312WM,224,2195000,8861,5680,"NC, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=195659&listingType=true
1990,Falcon,50,N90HC,50-208,1850000,8511,4862,"FL, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199380&listingType=true
1993,Falcon,50,N980DM,50-238,3445000,10001,6920,"FL, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199330&listingType=true
2007,Falcon,2000EX EX EASy,N899BC,132,Inquire,5390,2586,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197235&listingType=true
2005,Falcon,2000EX Easy,CS-DFK,065,7995000,14162,8740,"CO, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=199244&listingType=true
2003,Falcon,2000EX,N358DA,003,Inquire,4012,nan,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199316&listingType=true
2007,Falcon,2000EX,N311JX,124,12500000,6044,4307,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=199073&listingType=true
2013,Falcon,2000 S,LX-MIC,705,Inquire,4405,3105,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198006&listingType=true
2014,Falcon,2000 S,HB-JTC,715,Inquire,3705,1797,CH,JETRON s.r.o.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198407&listingType=true
2014,Falcon,2000 LXS,N454GB,266,Inquire,4093,2727,"WI, US",Donath Aircraft Services,https://www.aso.com/listings/spec/ViewAd.aspx?id=198919&listingType=true
2014,Falcon,2000 LXS,ZS-JUN,276,19000000,2590,2160,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198173&listingType=true
2016,Falcon,2000 LXS,G-SMSM,325,Inquire,3162,1531,FR,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=198926&listingType=true
2018,Falcon,2000 LXS,9H-JSB,336,Inquire,1892,1077,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199018&listingType=true
2008,Falcon,2000 LX,2-RBTS,0148,Inquire,2920,1729,GB,MaceAero Ltd ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199381&listingType=true
2011,Falcon,2000 LX,N200MV,0229,Inquire,3149,2208,"MN, US","Central Business Jets, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198188&listingType=true
2007,Falcon,2000 LX,N123KH,122,Inquire,7186,4199,"NH, US",Essex Aviation Group ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198399&listingType=true
2008,Falcon,2000 LX,N274SW,155,Inquire,6044,3558,"OH, US",The Yates Group,https://www.aso.com/listings/spec/ViewAd.aspx?id=197669&listingType=true
2009,Falcon,2000 LX,N95SJ,165,Inquire,5019,3407,"OH, US",Welsch Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=197953&listingType=true
2009,Falcon,2000 LX,N9895,184,15500000,2543,1313,MY,Dassault Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=196483&listingType=true
2005,Falcon,2000 EXEASy,N591MB,0064,Inquire,4903,2139,"MN, US","Central Business Jets, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199360&listingType=true
2005,Falcon,2000 EX EASy w/Winglets,N318CL,066,Inquire,5197,3159,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=195037&listingType=true
1998,Falcon,2000,N700DS,0063,Inquire,4902,2976,"TX, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198450&listingType=true
1996,Falcon,2000,N8888,028,Inquire,7985,3619,,Freestream Aircraft Limited,https://www.aso.com/listings/spec/ViewAd.aspx?id=194353&listingType=true
1997,Falcon,2000,N827CK,045,4950000,7731,4889,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=193047&listingType=true
1998,Falcon,2000,EC-JXR,055,4000000,10575,9219,"CO, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196554&listingType=true
1999,Falcon,2000,N345SK,098,Inquire,10307,6434,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199319&listingType=true
2000,Falcon,2000,,104,Inquire,16005,9183,"CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199321&listingType=true
2000,Falcon,2000,N797TW,111,Inquire,4309,2664,"KS, US",Thomas Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=199063&listingType=true
2009,Falcon,2000,N107RG,157,11995000,6525,4848,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198489&listingType=true
1978,Falcon,20 F-5,N600CD,20F-377,Inquire,12525,11903,"NC, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198989&listingType=true
1976,Falcon,20 F-5,N957CJ,357,1200000,12680,7517,"MI, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199311&listingType=true
1979,Falcon,20 F-5,N205DJ,399,Inquire,15411,11936,"MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199135&listingType=true
1986,Falcon,20 F5,N786CM,20F-486,Inquire,14619,10674,"FL, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=198782&listingType=true
1981,Falcon,100,N100KU,183,795000,10649,9328,"KS, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=190598&listingType=true
1978,Falcon,10,N17AQ,120,Inquire,15548,11786,MA,Flight Source International,https://www.aso.com/listings/spec/ViewAd.aspx?id=189169&listingType=true
2016,Embraer,Praetor 500,N588KD,55010014,16495000,1265,786,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197366&listingType=true
2019,Embraer,Praetor 500,N473DE,55010047,17399999,1404,947,"IL, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=199168&listingType=true
2019,Embraer,Praetor 500,N202EE,55010060,17495000,1757,949,"FL, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196379&listingType=true
2025,Embraer,Phenom 300 E,,,Inquire,nan,nan,"FL, US",Tern Jet Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199243&listingType=true
2018,Embraer,Phenom 300 E,N960MA,50500473,Inquire,1755,1561,"TN, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=197031&listingType=true
2019,Embraer,Phenom 300 E,,50500511,Inquire,5073,3541,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199448&listingType=true
2023,Embraer,Phenom 300 E,D-CPAV,50500746,Inquire,683,580,"NJ, US","Adyson Aviation Group, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198689&listingType=true
