Year,Make,Model,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2009,Learjet,45 XR,N245CM,403,Inquire,5015,3856,"TX, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199217&listingType=true
2000,Learjet,45 BR,G-FEMC,097,Inquire,8960,9253,"FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198588&listingType=true
2002,Learjet,45,N345SC,0203,2195000,4491,3805,"FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=196389&listingType=true
2005,Learjet,45,,0280,Inquire,5875,4391,GB,MaceAero Ltd ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198371&listingType=true
2001,Learjet,45,N615NR,131,Inquire,5479,4107,"CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=199156&listingType=true
2002,Learjet,45,N197EC,197,1950000,8593,7100,"MO, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=198899&listingType=true
2007,Learjet,40 XR,N779CF,2087,Inquire,3677,2754,"OH, US",FX Solutions ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198611&listingType=true
1977,Learjet,35 A,N500LL,095,Inquire,15610,11008,"FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197132&listingType=true
1980,Learjet,35 A,N310PJ,310,Inquire,18416,13925,"CO, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=180153&listingType=true
1980,Learjet,35 A,N35WB,350,Inquire,7895,7171,"FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198134&listingType=true
1981,Learjet,35 A,N72AY,419,Inquire,10624,8710,"FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=193480&listingType=true
1985,Learjet,35 A,N925CA,605,Inquire,10349,8382,"FL, US","NEXTJET, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=170448&listingType=true
1990,Learjet,35 A,SE-RMX,659,995000,7536,6499,SE,Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199122&listingType=true
